0,0,0977554095
152,6816991,0,0978631176
152,8916871,0,0957262824
153,1017252,0,0956836675
153,3116611,0,0952982598
153,5216483,0,0950903363
153,7316355,0,0952303568
153,9416224,0,0953708457
154,1516834,0,0958691127
154,3615966,0,0978799763
154,5815441,0,095651355
154,8017331,0,0953614798
155,0016002,0,0953183965
155,2016209,0,0956190426
155,4115324,0,0979801916
155,6215199,0,0988610566
155,8315068,0,0966656844
156,0414931,0,0958981471
156,2515436,0,0972824304
156,4614685,0,0968258417
156,6714551,0,0951868053
156,8814432,0,095379275
157,0914301,0,0960081967
157,3014971,0,0971152487
157,5114016,0,0973559529
157,721391,0,0965603178
157,9313778,0,0966492941
158,1413653,0,0957328386
158,3514325,0,096272784
158,5613404,0,0977127946
158,771327,0,0994422121
158,9813142,0,0957679608
159,1913007,0,0952612644
159,4112874,0,0951928931
159,6212745,0,0951938297
159,8212626,0,0952729718
160,0312495,0,0953605432
160,2412364,0,0959491914
160,4513038,0,0978294003
160,6612108,0,0960620507
160,8711981,0,0951203073
161,0811851,0,0951886785
161,2911719,0,0954410901
161,5012304,0,0977067067
161,7111464,0,0994876369
161,9211334,0,108980936
162,1311215,0,106955087
162,3411073,0,0958082342
162,5511459,0,0952439374
162,7610823,0,095257518
162,9710358,0,0952387862
163,1810564,0,0961280805
163,3910434,0,0977755462
163,6010795,0,0953624163
163,8210173,0,0951811857
164,0310042,0,0952729718
164,2309926,0,0977048335
164,4409797,0,102557786
164,6511572,0,0987954952
164,8609535,0,0956265354
165,0709417,0,0955338127
165,2809286,0,105542237
165,490915,0,119644038
165,7009859,0,110343677
165,91089,0,0962966671
166,1208759,0,0955946912
166,3308643,0,0976425501
166,5408506,0,096008665
166,7509111,0,0951399757
166,9608251,0,0952298885
167,170813,0,095429851
167,3807991,0,095727219
167,5907871,0,0988151636
167,8008339,0,0974557
168,0107607,0,0954293827
168,2407474,0,095262201
168,4407353,0,09615571
168,640722,0,247346517
168,8507771,0,595440856
169,0606965,0,315320635
169,2706844,0,139131713
169,4806711,0,108595996
169,6906583,0,10527765
169,9007222,0,105287953
170,1106323,0,105261728
170,3206193,0,106172096
170,530606,0,108093515
170,7405939,0,107405119
170,9506545,0,105394724
171,1605676,0,105144654
171,3705553,0,104869296
171,5805425,0,104873979
171,7905288,0,104987306
172,0005906,0,104644514
172,2105035,0,105816659
172,4304362,0,107034229
172,6505515,0,104727402
172,8404647,0,10492596
173,0505405,0,105044439
173,260439,0,105117493
173,4704259,0,106844569
173,6804129,0,108270531
173,8904004,0,106675046
174,1004663,0,105108595
174,3103746,0,105203659
174,5203617,0,105201318
174,7303492,0,10517322
174,9403359,0,10515402
175,1503963,0,1051484
175,3603087,0,10661885
175,5702973,0,107244025
175,7802857,0,105206001
175,9902722,0,104982155
176,2003425,0,105204596
176,4102458,0,106192232
176,6201962,0,108513108
176,8302182,0,108684973
177,0602066,0,105169005
177,2601939,0,104866486
177,4601817,0,105136693
177,6701695,0,106703143
177,880156,0,105509457
178,0901415,0,105105317
178,3002121,0,105573613
178,5101169,0,10798487
178,7201047,0,107985338
178,9300914,0,106010065
179,1400786,0,104553664
179,3501486,0,107505803
179,5600529,0,109102224
179,7700399,0,116361751
179,9800276,0,116642729
180,1900149,0,105781068
180,4000498,0,104975131
180,6099887,0,105176498
180,8199756,0,105759058
181,0299636,0,280078542
181,23995,0,776618536
181,4500305,0,113742102
181,6599243,0,0955614422
181,8699113,0,0950486579
182,0798992,0,0949306473
182,2898854,0,0962320422
182,4999494,0,0986451721
182,7098603,0,0954111191
182,9198471,0,0946904114
183,1298336,0,0946520111
183,339821,0,0947494167
183,5498872,0,0947882853
183,7597958,0,0947564412
183,9697827,0,094686665
184,179772,0,0950200919
184,3897583,0,097095112
184,5998455,0,0956321549
184,8097318,0,0946056498
185,0197188,0,0945873863
185,2297067,0,0948393296
185,4396965,0,0969504085
185,6497288,0,0981384757
185,8596692,0,0946435818
186,0896533,0,0946300012
186,2896416,0,0946684015
186,4896266,0,0946768308
186,6997195,0,0946744893
186,9096036,0,0946721479
187,1195918,0,0946838553
187,3295769,0,0959257766
187,5395652,0,0968698616
187,7496112,0,0948449491
187,9595395,0,0945925375
188,1695254,0,0945990937
188,3795137,0,0954443682
188,5895001,0,0978270588
188,7995548,0,0975109589
189,0094741,0,0950973607
189,2194603,0,0946112694
189,4294487,0,0946295329
189,6394356,0,0946477965
189,8495008,0,0946365574
190,0594105,0,0945962839
190,269397,0,0949254961
190,479386,0,0957239409
190,6994177,0,094711953
190,8994239,0,0946285963
191,1093454,0,0945990937
191,3193322,0,0948238758
191,5293203,0,0977610291
191,7393076,0,0973896702
191,9494825,0,104281584
192,1592811,0,106823027
192,3692682,0,095471061
192,5792557,0,094645455
192,7892426,0,0946623136
192,9992816,0,0946501379
193,2092169,0,094615484
193,4192018,0,0959168789
193,6291917,0,0969096667
193,8391784,0,0949915258
194,0492457,0,0946627819
194,2591534,0,0955174224
194,4691394,0,0979371084
194,6891271,0,0951975761
194,9091134,0,0946079913
195,1091003,0,0946318744
195,3090881,0,0946463916
195,5190758,0,0946257865
195,7290623,0,0948847543
195,9390496,0,10559375
196,1490807,0,111326163
196,3590238,0,0984569171
196,5690108,0,0957932488
196,7789994,0,0946440501
196,9889852,0,0946047132
197,19913,0,0947302166
197,4089592,0,0967106409
197,6189467,0,0981024169
197,8289336,0,0963149306
198,0389208,0,0946637185
198,2490517,0,0945934741
198,4588959,0,0945972205
198,6688819,0,0945916009
198,8788693,0,0947405191
199,0888565,0,0948191928
199,2988922,0,0959295229
199,528829,0,0949203448
199,7288173,0,0946323427
199,9288056,0,094582235
200,1387924,0,0946108011
200,3488541,0,0957773267
200,5587665,0,0985585374
200,7687532,0,129107366
200,9787412,0,605573379
201,1887279,0,838349799
201,398715,0,411237514
201,6087018,0,202478129
201,8186891,0,10664086
202,0286765,0,094972794
202,2386635,0,0954134606
202,4488401,0,0972651035
202,6586377,0,0959604305
202,8686249,0,094787817
203,0786139,0,0947803243
203,2885991,0,0948810079
203,4986716,0,0968534712
203,7185342,0,0965359664
203,9385595,0,0948327734
204,1385472,0,0947620607
204,3385353,0,0947536314
204,5486218,0,0947976512
204,7584742,0,0947910951
204,9684964,0,0947686169
205,1784839,0,0959683915
205,3884352,0,0970286139
205,5985395,0,0950308627
205,8084433,0,0947840706
206,0184328,0,0947564412
206,2284198,0,094733963
206,4384064,0,0954972856
206,6484908,0,0979820648
206,8583803,0,097874825
207,0683664,0,0953488358
207,2783544,0,0947283434
207,488342,0,0947433289
207,6984132,0,0948931836
207,9083164,0,099364475
208,1183033,0,0990282384
208,3483428,0,0971124389
208,5483482,0,0960503433
208,7483445,0,0947920317
208,958252,0,0947789194
209,1682389,0,0950561507
209,3782263,0,0977755462
209,588214,0,0974926954
209,7983475,0,0948875641
210,0081877,0,0948646176
210,2181746,0,0950594288
210,4281619,0,0947999927
210,6381489,0,0947714266
210,8482129,0,0947836023
211,0581235,0,0947775145
211,2681104,0,0959107911
211,4780972,0,0972056299
211,6880851,0,0951338878
211,8981567,0,0947700218
212,1080593,0,0947578461
212,3180464,0,095501032
212,5280336,0,0980270213
212,7580191,0,0954232948
212,9580052,0,0947433289
213,167994,0,0947484801
213,3679817,0,0948154465
213,5779693,0,0948482272
213,7879564,0,0947695535
213,9980308,0,0950739459
214,2079304,0,0972252983
214,4179177,0,0961547734
214,6279045,0,0949465694
214,8378915,0,0949236229
215,0479627,0,0948519736
215,2578663,0,0948786665
215,4678539,0,0968258417
215,6778402,0,100789968
215,8878274,0,103315958
216,0978821,0,112511889
216,3078017,0,111314455
216,5177885,0,124174803
216,727774,0,101003043
216,9377629,0,0948519736
217,1478148,0,0963046281
217,3777346,0,0974004411
217,5777237,0,0951432538
217,7777162,0,0948950568
217,9876793,0,0949779452
218,1977673,0,0947807926
218,407674,0,0958087025
218,61766,0,0992956354
218,8276251,0,0964919466
219,0376342,0,0949240912
219,2476937,0,0947906268
219,4576089,0,0947695535
219,6675971,0,094733963
219,8775833,0,0947231921
220,0875702,0,0947976512
220,2976327,0,0955492665
220,5077733,0,0972932012
220,7175319,0,0962353203
220,9275191,0,0948435442
221,1375064,0,0947644022
221,3475616,0,0948323051
221,5574806,0,0983440577
221,7874659,0,096818349
221,977455,0,0951947663
222,1874418,0,0949896526
222,397502,0,0948145099
222,6074168,0,0952528351
222,8174026,0,0954874514
223,02739,0,094993399
223,2373774,0,0960358262
223,447477,0,0973184892
223,6573517,0,0947896902
223,8673395,0,0947147628
224,0773262,0,0947016505
224,2873128,0,0953600749
224,4973764,0,0979005813
224,7072879,0,0980443482
224,9172744,0,0955487982
225,1272645,0,0998725763
225,3372482,0,229054402
225,5473335,0,382820369
225,7572228,0,218676023
225,9672104,0,110860208
226,1972403,0,100321204
226,3973447,0,0995030906
226,5972578,0,0983234527
226,8071605,0,0981300464
227,0171457,0,0981511197
227,2271332,0,0999554647
227,4371196,0,101637116
227,6471952,0,100024304
227,8570926,0,0982185544
228,0670826,0,098369814
228,2770684,0,0980991389
228,4870562,0,0978350199
228,6971197,0,0978481321
228,9070302,0,0979717623
229,1170168,0,0979577134
229,3270043,0,0989055448
229,5369912,0,100462161
229,7470738,0,0983777751
229,9569661,0,0979043277
230,1669529,0,0979062009
230,3769401,0,0984367804
230,586927,0,101645545
230,8169136,0,0987992416
231,006901,0,097846259
231,216889,0,0978823178
231,4268758,0,0979567768
231,6368628,0,097874825
231,8468983,0,0978429809
232,0568369,0,0981965445
232,2668238,0,100097358
232,4768111,0,0993242015
232,6867987,0,0981647003
232,8968293,0,0978275271
233,1167186,0,0974238559
233,3167601,0,0977689901
233,5267468,0,101330382
233,7367338,0,102210779
233,946805,0,0980078211
234,156708,0,0977043652
