0,1,30647252E-09
88,5745728,2,33019443E-06
88,7845598,2,33019443E-06
88,9945945,2,33019443E-06
89,2045338,2,33019443E-06
89,4145209,2,42630965E-09
89,6245081,2,57562127E-09
89,8344958,2,57562127E-09
90,0445684,2,27699803E-09
90,2644698,1,90371899E-09
90,4744567,9,33193474E-10
90,6844436,1,08250509E-09
90,8945065,1,30647252E-09
91,1044178,1,60509575E-09
91,3343797,1,23181671E-09
91,5243919,1,90371899E-09
91,7343791,2,42630965E-09
91,9444742,2,94890031E-09
92,1543509,3,17286774E-09
92,36434,-3,24753181E-09
92,5743283,-1,62376425E-08
92,7843151,1,07877602E-08
92,9943884,3,32217935E-09
93,2042891,2,57562127E-09
93,4142764,-2,72494115E-09
93,6242617,5,93513266E-09
93,8342506,3,24752354E-09
94,0443243,4,14339325E-09
94,264224,2,13888851E-08
94,4742117,1,31767461E-08
94,6841981,5,03926295E-09
94,8942314,4,44201648E-09
95,1041726,4,51667229E-09
95,3341584,4,36736067E-09
95,5341441,4,29270487E-09
95,7341346,3,62080259E-09
95,9442413,4,06873744E-09
96,1541083,4,74063972E-09
96,3740949,4,36736067E-09
96,5840819,4,29270487E-09
96,7941418,4,06873744E-09
97,004056,4,21804906E-09
97,2140433,4,36736067E-09
97,424031,4,51667229E-09
97,6340176,4,36736067E-09
97,844148,4,14339325E-09
98,0539916,4,06873744E-09
98,2639774,3,91942582E-09
98,4739659,4,06873744E-09
98,683953,4,14339325E-09
98,8939849,4,14339325E-09
99,1039277,3,91942582E-09
99,3139149,3,99408163E-09
99,5439856,4,21804906E-09
99,7439646,4,06873744E-09
99,9439479,3,54614678E-09
100,1538629,3,54614678E-09
100,3738494,3,54614678E-09
100,5838369,3,7701142E-09
100,7938892,3,99408163E-09
101,0038116,3,84477001E-09
101,2137992,3,91942582E-09
101,4237859,3,7701142E-09
101,6337727,3,02355612E-09
101,8438931,3,02355612E-09
102,0537465,3,6954584E-09
102,2637344,3,62080259E-09
102,4837203,3,47149097E-09
102,6937774,3,62080259E-09
102,9036951,3,6954584E-09
103,113682,3,6954584E-09
103,323669,3,32217935E-09
103,5437083,3,84477001E-09
103,7436919,3,7701142E-09
103,9536299,3,6954584E-09
104,1636174,4,29270487E-09
104,3736051,4,14339325E-09
104,5835918,3,62080259E-09
104,7936487,3,47149097E-09
105,0035666,3,99408163E-09
105,213553,4,14339325E-09
105,4235408,3,62080259E-09
105,6335274,3,62080259E-09
105,8435749,3,54614678E-09
106,0535017,3,84477001E-09
106,2634891,3,7701142E-09
106,4734221,3,84477001E-09
106,6834633,3,7701142E-09
106,8934976,3,54614678E-09
107,103438,3,32217935E-09
107,3134243,3,6954584E-09
107,5234116,3,99408163E-09
107,7533974,3,7701142E-09
107,9434695,3,84477001E-09
108,1533741,3,84477001E-09
108,3733595,3,91942582E-09
108,5833463,4,06873744E-09
108,7933769,3,62080259E-09
109,0033211,3,39683516E-09
109,2133082,3,62080259E-09
109,4232952,3,32217935E-09
109,6332832,2,72493288E-09
109,8433556,2,57562127E-09
110,0532567,3,24752354E-09
110,2632437,3,7701142E-09
110,4832301,3,99408163E-09
110,6932974,3,84477001E-09
110,9032048,3,99408163E-09
111,1131572,3,7701142E-09
111,3231255,3,62080259E-09
111,533111,3,24752354E-09
111,7530992,3,39683516E-09
111,9531403,3,7701142E-09
112,1631278,3,62080259E-09
112,3731151,3,39683516E-09
112,5831025,3,39683516E-09
112,7932319,3,6954584E-09
113,0030759,3,54614678E-09
113,213063,4,14339325E-09
113,4230501,3,62080259E-09
113,6330373,3,02355612E-09
113,8431665,3,17286774E-09
114,0530113,3,32217935E-09
114,2629995,3,24752354E-09
114,4829873,3,24752354E-09
114,6930162,3,32217935E-09
114,9029369,3,91942582E-09
115,1129464,3,91942582E-09
115,3229344,2,8742445E-09
115,5329213,3,32217935E-09
115,7529077,3,84477001E-09
115,9528957,4,06873744E-09
116,1628828,3,47149097E-09
116,37287,3,62080259E-09
116,5828579,3,47149097E-09
116,7928886,3,6954584E-09
117,0028312,3,6954584E-09
117,2128182,3,7701142E-09
117,4228096,3,91942582E-09
117,6327924,3,7701142E-09
117,8429688,3,47149097E-09
118,0527677,3,6954584E-09
118,2627539,3,84477001E-09
118,482741,3,39683516E-09
118,6928661,3,32217935E-09
118,9027147,3,47149097E-09
119,1127029,3,39683516E-09
119,3226887,3,39683516E-09
