Episode: 144; Score: [-6.28395469]; Action: [0.73329766]
Episode: 145; Score: [-7.85835766]; Action: [-0.04512637]
Episode: 146; Score: [-5.6437302]; Action: [0.48760385]
Episode: 147; Score: [-6.58457469]; Action: [-0.2867896]
Episode: 148; Score: [-6.63928743]; Action: [0.83429205]
Episode: 149; Score: [-7.51314034]; Action: [-0.11313794]
Episode: 150; Score: [-6.96762567]; Action: [0.54224213]
Episode: 151; Score: [-9.22908198]; Action: [0.02021017]
Episode: 152; Score: [-7.08605674]; Action: [0.03063179]
Episode: 153; Score: [-2.77362308]; Action: [-0.74054518]
Episode: 154; Score: [-9.96529284]; Action: [-0.3944419]
Episode: 155; Score: [-10.39381792]; Action: [-0.50956655]
Episode: 156; Score: [-6.96319246]; Action: [-0.59586741]
Episode: 157; Score: [-5.19740752]; Action: [-0.42537251]
Episode: 158; Score: [-8.99787276]; Action: [-0.33713223]
Episode: 159; Score: [-9.43469205]; Action: [-0.81921655]
Episode: 160; Score: [-8.77662911]; Action: [0.88269162]
Episode: 161; Score: [-2.95147467]; Action: [0.61643007]
Episode: 162; Score: [-2.8975947]; Action: [-0.24346199]
Episode: 163; Score: [-2.66049255]; Action: [0.90529087]
Episode: 164; Score: [-2.86273776]; Action: [-1.]
Episode: 165; Score: [-7.40228864]; Action: [0.27345832]
Episode: 166; Score: [-7.79548146]; Action: [0.45637681]
Episode: 167; Score: [-11.79971858]; Action: [-0.74776614]
Episode: 168; Score: [-4.21355556]; Action: [0.3528124]
Episode: 169; Score: [-5.50003703]; Action: [0.06805183]
Episode: 170; Score: [-7.61784123]; Action: [0.65990668]
Episode: 171; Score: [-9.20965396]; Action: [0.98734638]
Episode: 172; Score: [-3.01696908]; Action: [-0.26702484]
Episode: 173; Score: [-6.21045642]; Action: [0.90018693]
Episode: 174; Score: [-8.44595871]; Action: [0.1414493]
Episode: 175; Score: [-7.97946904]; Action: [-0.14548103]
Episode: 176; Score: [-8.96034026]; Action: [0.03094847]
Episode: 177; Score: [-8.09878808]; Action: [-0.7919198]
Episode: 178; Score: [-5.41718808]; Action: [-0.88688729]
Episode: 179; Score: [-1.8345217]; Action: [-0.11961231]
Episode: 180; Score: [-5.7035772]; Action: [-0.2085233]
Episode: 181; Score: [-8.82257964]; Action: [0.60439687]
Episode: 182; Score: [-4.36120142]; Action: [-0.51454243]
Episode: 183; Score: [-8.23327166]; Action: [0.52848736]
Episode: 184; Score: [-8.54021676]; Action: [0.91304762]
Episode: 185; Score: [-8.15387475]; Action: [-0.80910006]
Episode: 186; Score: [-4.57005559]; Action: [0.23586644]
Episode: 187; Score: [-5.62663626]; Action: [-0.6624297]
Episode: 188; Score: [-10.22988491]; Action: [-0.83495728]
Episode: 189; Score: [-4.11043404]; Action: [-0.22673168]
Episode: 190; Score: [-6.9553736]; Action: [0.97349764]
Episode: 191; Score: [-2.43587099]; Action: [-0.25366359]
Episode: 192; Score: [-7.96465507]; Action: [-0.26289481]
Episode: 193; Score: [-4.25958615]; Action: [-0.31301748]
Episode: 194; Score: [-5.56643776]; Action: [0.58455743]
Episode: 195; Score: [-7.67203777]; Action: [0.13587681]
Episode: 196; Score: [-7.40488248]; Action: [0.43849103]
Episode: 197; Score: [-8.31504453]; Action: [-0.93806438]
Episode: 198; Score: [-9.68347658]; Action: [-0.42674466]
Episode: 199; Score: [-9.77585666]; Action: [0.15226734]
Episode: 200; Score: [-5.29389976]; Action: [0.74244573]
Episode: 201; Score: [-8.36149648]; Action: [0.01338088]
Episode: 202; Score: [-2.68398184]; Action: [-0.78786739]
Episode: 203; Score: [-4.3792089]; Action: [1.]
Episode: 204; Score: [-3.86021413]; Action: [-0.6215934]
Episode: 205; Score: [-6.77886508]; Action: [0.64675773]
Episode: 206; Score: [-5.8085232]; Action: [-0.98828778]
Episode: 207; Score: [-9.18415025]; Action: [-0.88497932]
Episode: 208; Score: [-5.65601472]; Action: [0.2867394]
Episode: 209; Score: [-5.68556008]; Action: [0.08813725]
Episode: 210; Score: [-9.44499109]; Action: [-0.4769266]
Episode: 211; Score: [-2.73017261]; Action: [-0.31459184]
Episode: 212; Score: [-11.05677993]; Action: [-0.58431727]
Episode: 213; Score: [-8.19745286]; Action: [-0.82518864]
Episode: 214; Score: [-2.23593047]; Action: [0.14608052]
Episode: 215; Score: [-6.35599843]; Action: [-0.63465342]
Episode: 216; Score: [-9.50848479]; Action: [-0.64824563]
Episode: 217; Score: [-8.12466625]; Action: [-0.30166014]
Episode: 218; Score: [-5.40930382]; Action: [0.8105378]
Episode: 219; Score: [-7.27533858]; Action: [-0.90803313]
Episode: 220; Score: [-2.54283539]; Action: [-0.96970408]
Episode: 221; Score: [-9.9320865]; Action: [0.5511109]
Episode: 222; Score: [-10.28276646]; Action: [-0.62195449]
Episode: 223; Score: [-2.54839502]; Action: [-0.82505943]
Episode: 224; Score: [-8.13612794]; Action: [-0.32461458]
Episode: 225; Score: [-3.15190122]; Action: [0.32009305]
Episode: 226; Score: [-1.90805454]; Action: [-0.1493991]
Episode: 227; Score: [-5.78592079]; Action: [0.77125245]
Episode: 228; Score: [-1.73242278]; Action: [0.38926609]
Episode: 229; Score: [-2.39080906]; Action: [-0.09285953]
Episode: 230; Score: [-2.84133533]; Action: [0.66104234]
Episode: 231; Score: [-8.22425393]; Action: [0.02133226]
Episode: 232; Score: [-8.01816947]; Action: [0.1933682]
Episode: 233; Score: [-8.54934083]; Action: [0.94082359]
Episode: 234; Score: [-3.5018857]; Action: [0.56241117]
Episode: 235; Score: [-1.81436215]; Action: [0.94182914]
Episode: 236; Score: [-5.48052603]; Action: [-0.55664017]
Episode: 237; Score: [-8.66006882]; Action: [0.85449607]
Episode: 238; Score: [-6.77121136]; Action: [-0.26204552]
Episode: 239; Score: [-9.35572531]; Action: [0.17038807]
Episode: 240; Score: [-4.484196]; Action: [1.]
Episode: 241; Score: [-0.10761195]; Action: [1.]
Episode: 242; Score: [-0.3056633]; Action: [0.9326758]
Episode: 243; Score: [-4.2727213]; Action: [0.96154654]
Episode: 244; Score: [-3.1219733]; Action: [0.912278]
Episode: 245; Score: [-3.288128]; Action: [0.9611839]
Episode: 246; Score: [-4.4348526]; Action: [1.]
Episode: 247; Score: [-0.38797313]; Action: [0.9873034]
Episode: 248; Score: [-4.439696]; Action: [0.9056036]
Episode: 249; Score: [-4.355256]; Action: [0.9057013]
Episode: 250; Score: [-3.6719627]; Action: [0.9893037]
Episode: 251; Score: [-3.3356605]; Action: [1.]
Episode: 252; Score: [-3.1622176]; Action: [0.9075345]
Episode: 253; Score: [-3.1401935]; Action: [0.95894873]
Episode: 254; Score: [-4.2192802]; Action: [1.]
Episode: 255; Score: [-3.2595942]; Action: [0.77188325]
Episode: 256; Score: [-3.1747475]; Action: [0.9294696]
Episode: 257; Score: [-4.232493]; Action: [0.9221939]
Episode: 258; Score: [-3.0912733]; Action: [0.9587174]
Episode: 259; Score: [-3.099356]; Action: [1.]
Episode: 260; Score: [-3.190661]; Action: [1.]
Episode: 261; Score: [-4.0352397]; Action: [0.6348554]
Episode: 262; Score: [-3.2062263]; Action: [0.9562491]
Episode: 263; Score: [-3.5750082]; Action: [1.]
Episode: 264; Score: [-3.3071928]; Action: [0.79756206]
Episode: 265; Score: [-0.35750097]; Action: [1.]
Episode: 266; Score: [-6.794338]; Action: [0.374975]
Episode: 267; Score: [-3.1736844]; Action: [0.8263156]
Episode: 268; Score: [-3.2225971]; Action: [1.]
Episode: 269; Score: [-3.2050579]; Action: [0.94552964]
Episode: 270; Score: [-2.8284173]; Action: [0.47228643]
Episode: 271; Score: [-1.8631473]; Action: [0.25944328]
Episode: 272; Score: [-0.20523775]; Action: [1.]
Episode: 273; Score: [-0.22933447]; Action: [0.9624851]
Episode: 274; Score: [-2.51194]; Action: [0.59887815]
Episode: 275; Score: [-2.4140515]; Action: [0.33923826]
Episode: 276; Score: [-2.0833592]; Action: [0.40604746]
Episode: 277; Score: [-4.0330687]; Action: [0.96693116]
Episode: 278; Score: [-0.01428765]; Action: [1.]
Episode: 279; Score: [-3.0793476]; Action: [0.95408785]
Episode: 280; Score: [-2.0172753]; Action: [0.43777487]
Episode: 281; Score: [-3.1485817]; Action: [0.8514182]
Episode: 282; Score: [-2.448645]; Action: [0.66461885]
Episode: 283; Score: [-2.400132]; Action: [0.5681578]
Episode: 284; Score: [-4.2196703]; Action: [0.8339889]
