Wall time,Step,Value
1750579105.381714,5137,-8.227931022644043
1750579105.9339116,5152,-7.380599021911621
1750579106.0510252,5155,-7.856043338775635
1750579106.089255,5156,-9.444209098815918
1750579107.3256814,5188,-7.506681442260742
1750579107.8861942,5201,-9.45474624633789
1750579108.8539867,5226,-7.107749938964844
1750579109.3693383,5239,-6.612791061401367
1750579109.9957137,5254,-6.760171413421631
1750579110.3380907,5263,-7.4916534423828125
1750579110.4429526,5266,-7.061061382293701
1750579111.5228908,5296,-8.375783920288086
1750579112.4878776,5320,-6.493676662445068
1750579112.6099925,5323,-7.151552677154541
1750579114.227683,5363,-6.018928050994873
1750579114.545833,5371,-6.635363578796387
1750579115.8270695,5404,-6.860959529876709
1750579117.426292,5446,-7.052329063415527
1750579117.7616136,5455,-9.23730754852295
1750579117.9512155,5460,-6.502124786376953
1750579119.8645558,5510,-8.792556762695312
1750579125.8373635,5668,-7.695381164550781
1750579128.2721946,5731,-7.095733165740967
1750579129.379984,5759,-7.306371688842773
1750579130.1171737,5782,-6.550152778625488
1750579131.7545533,5833,-7.179806709289551
1750579133.263045,5867,-6.207716941833496
1750579133.6423542,5880,-5.832530498504639
1750579135.5143728,5949,-5.925780773162842
1750579135.7569795,5957,-5.990002632141113
1750579136.4160242,5982,-6.692624568939209
1750579136.8273902,5998,-6.494090557098389
1750579137.1529946,6010,-6.62933874130249
1750579138.3330731,6054,-7.523100852966309
1750579139.796224,6112,-6.395668983459473
1750579140.4143047,6134,-7.611881256103516
1750579140.5721486,6139,-5.870020389556885
1750579140.68677,6143,-7.461177825927734
1750579143.140956,6226,-6.495657920837402
1750579143.8303597,6244,-6.438638687133789
1750579145.219827,6280,-5.922721862792969
1750579145.839404,6301,-5.842851638793945
1750579146.650391,6333,-8.211782455444336
1750579146.6915543,6335,-6.420993804931641
1750579147.265096,6359,-7.564202308654785
1750579147.2858424,6360,-6.496664524078369
1750579147.4037743,6365,-6.234164237976074
1750579147.535554,6370,-6.630227565765381
