Episode: 226; Score: -0.7999999999999998; Action: [2 2 1 2 2]
Episode: 227; Score: -0.7999999999999998; Action: [2 2 1 2 2]
Episode: 228; Score: -1.7; Action: [1 2 0 2 0]
Episode: 229; Score: -1.0999999999999999; Action: [2 2 0 2 2]
Episode: 230; Score: -1.4; Action: [2 2 0 1 2]
Episode: 231; Score: -1.4; Action: [2 2 0 1 2]
Episode: 232; Score: -1.0999999999999999; Action: [2 2 1 1 2]
Episode: 233; Score: -2.0; Action: [1 2 0 1 0]
Episode: 234; Score: -1.7; Action: [0 2 1 0 1]
Episode: 235; Score: -1.0999999999999999; Action: [2 1 1 0 0]
Episode: 236; Score: -0.7999999999999998; Action: [2 1 0 2 2]
Episode: 237; Score: -2.0; Action: [1 0 0 1 0]
Episode: 238; Score: -1.7; Action: [0 2 1 0 1]
Episode: 239; Score: -1.0999999999999999; Action: [2 1 0 0 2]
Episode: 240; Score: -1.4; Action: [2 0 0 2 0]
Episode: 241; Score: -0.7999999999999998; Action: [2 2 1 2 2]
Episode: 242; Score: -1.7; Action: [0 2 1 0 1]
Episode: 243; Score: -1.7; Action: [0 2 1 0 1]
Episode: 244; Score: -1.7; Action: [2 0 0 0 1]
Episode: 245; Score: -1.7; Action: [0 2 1 0 1]
Episode: 246; Score: -1.0999999999999999; Action: [2 1 2 2 0]
Episode: 247; Score: -1.7; Action: [1 0 0 0 2]
Episode: 248; Score: -1.7; Action: [0 2 1 0 1]
Episode: 249; Score: -1.7; Action: [0 2 1 0 1]
Episode: 250; Score: -1.7; Action: [1 0 0 2 0]
Episode: 251; Score: -1.4; Action: [2 2 2 2 0]
Episode: 252; Score: -1.7; Action: [0 2 1 0 1]
Episode: 253; Score: -1.7; Action: [0 2 1 0 1]
Episode: 254; Score: -1.7; Action: [0 2 1 0 1]
Episode: 255; Score: -0.7999999999999998; Action: [2 1 0 2 2]
Episode: 256; Score: -1.0999999999999999; Action: [2 2 0 2 2]
Episode: 257; Score: -1.0999999999999999; Action: [2 2 0 2 2]
Episode: 258; Score: -0.7999999999999998; Action: [2 1 1 2 0]
Episode: 259; Score: -1.0999999999999999; Action: [2 2 0 2 2]
Episode: 260; Score: -1.4; Action: [1 1 0 2 0]
Episode: 261; Score: -1.7; Action: [0 2 1 0 1]
Episode: 262; Score: -1.7; Action: [0 2 1 0 1]
Episode: 263; Score: -1.0999999999999999; Action: [2 0 0 2 2]
Episode: 264; Score: -1.7; Action: [2 2 0 1 0]
Episode: 265; Score: -1.4; Action: [2 2 2 2 0]
Episode: 266; Score: -1.4; Action: [2 0 0 2 0]
Episode: 267; Score: -1.7; Action: [0 2 1 0 1]
Episode: 268; Score: -1.7; Action: [0 2 1 0 1]
Episode: 269; Score: -0.7999999999999998; Action: [2 1 1 2 0]
Episode: 270; Score: -1.4; Action: [2 2 0 0 2]
Episode: 271; Score: -1.7; Action: [0 2 1 0 1]
Episode: 272; Score: -1.7; Action: [0 2 1 0 1]
Episode: 273; Score: -1.4; Action: [2 2 0 0 2]
Episode: 274; Score: 3.5458524468853754; Action: [2 1 1 2 2]
Episode: 275; Score: -0.7999999999999998; Action: [2 2 1 2 2]
Episode: 276; Score: -1.7; Action: [0 2 1 0 1]
Episode: 277; Score: -1.7; Action: [0 2 1 0 1]
Episode: 278; Score: -1.7; Action: [0 2 1 0 1]
Episode: 279; Score: -1.4; Action: [2 2 0 0 2]
Episode: 280; Score: -1.4; Action: [2 0 0 0 2]
Episode: 281; Score: -0.7999999999999998; Action: [2 1 1 2 0]
Episode: 282; Score: -1.0999999999999999; Action: [2 1 0 2 0]
Episode: 283; Score: -1.7; Action: [1 2 2 2 0]
Episode: 284; Score: -1.4; Action: [2 1 0 0 0]
Episode: 285; Score: -1.0999999999999999; Action: [2 1 0 2 0]
Episode: 286; Score: -1.0999999999999999; Action: [2 2 0 2 2]
Episode: 287; Score: -0.7999999999999998; Action: [2 1 1 2 0]
Episode: 288; Score: -1.7; Action: [0 2 1 0 1]
Episode: 289; Score: -1.7; Action: [0 2 1 0 1]
Episode: 290; Score: -1.0999999999999999; Action: [2 1 0 0 2]
Episode: 291; Score: -1.7; Action: [0 2 1 0 1]
Episode: 292; Score: -1.4; Action: [2 1 0 0 0]
Episode: 293; Score: -1.7; Action: [0 2 1 0 1]
Episode: 294; Score: -1.4; Action: [2 2 2 2 0]
Episode: 295; Score: -1.4; Action: [2 0 0 1 2]
Episode: 296; Score: -1.7; Action: [0 2 1 0 1]
Episode: 297; Score: -1.7; Action: [0 2 1 0 1]
